candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,validation_accuracy,validation_macro_f1,validation_log_loss,validation_multiclass_brier,validation_ece
1,200,3,0.05,0.8,0.8,0.5205479452054794,0.49543941392443375,0.9895191395036264,0.5906268057046618,0.0573787983690064
2,250,4,0.05,0.8,0.8,0.5188356164383562,0.493820200869195,0.9914002826248964,0.5918057551868162,0.05574984262585364
3,300,3,0.07,0.9,0.9,0.5131278538812786,0.4869786528802648,0.9912708827069898,0.5912874760509433,0.057175307282381994
4,350,4,0.03,0.85,0.85,0.5199771689497716,0.49164819185638126,0.988752365169554,0.5899608007870973,0.05562839305630629
5,400,5,0.03,0.8,0.8,0.5114155251141552,0.4792114132427143,0.9922625278058936,0.5921226526887299,0.05664005765417515
6,450,4,0.02,0.85,0.85,0.5159817351598174,0.4893761807521437,0.9897168027251899,0.590732959847232,0.05447616769452105
