configuration,base_numeric_features,extra_numeric_features,final_feature_count,impute_numeric,add_missing_indicators,validation_accuracy,validation_macro_f1,validation_log_loss,validation_multiclass_brier,validation_ece,test_accuracy,test_macro_f1,test_log_loss,test_multiclass_brier,test_ece
baseline_current_features,13,0,15,False,False,0.5399543378995434,0.4312928633888853,0.9805254180286227,0.5835408733984674,0.03222876695395029,0.5256849315068494,0.41294723435145136,0.9936069647082887,0.5925033176616503,0.028219638820185366
expanded_context_with_missing_value_handling,13,13,54,True,True,0.5302511415525114,0.4219432798482816,0.9779038593525101,0.5809294029134233,0.027771462612622904,0.526255707762557,0.4126579488181596,0.9906807269737067,0.590713636471205,0.02929141950831571
expanded_context_features,13,13,28,False,False,0.5348173515981736,0.4217906861545273,0.9799552002139772,0.5823309402868607,0.028323325112140984,0.5205479452054794,0.4100319874186898,0.9907986418493538,0.5909649900297699,0.02881324510499406
