candidate_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,validation_accuracy,validation_macro_f1,validation_log_loss,validation_multiclass_brier,validation_ece
1,200,3,0.05,0.8,0.8,0.5376712328767124,0.42135233242234965,0.974746104063563,0.5797286640737547,0.024910503962749065
2,250,4,0.05,0.8,0.8,0.5302511415525114,0.4219432798482816,0.9779038593525101,0.5809294029134233,0.027771462612622904
3,300,3,0.07,0.9,0.9,0.533675799086758,0.4244155273551414,0.9790410976131696,0.5819155088816931,0.030782174642819446
4,350,4,0.03,0.85,0.85,0.533675799086758,0.4200317485655501,0.9757289206730477,0.5800917827995936,0.031056883832765548
5,400,5,0.03,0.8,0.8,0.5319634703196348,0.4279713009065024,0.9829609868653457,0.583951478044306,0.02875118098497761
6,450,4,0.02,0.85,0.85,0.531392694063927,0.4149188962763164,0.9758978425294713,0.5803769233288303,0.029172549789272303
