ablation,remaining_numeric_features,final_feature_count,validation_accuracy,validation_macro_f1,validation_log_loss,validation_multiclass_brier,validation_ece,test_accuracy,test_macro_f1,test_log_loss,test_multiclass_brier,test_ece,delta_test_macro_f1
without_form_family,20,42,0.5348173515981736,0.42358085040367843,0.9811295828606137,0.5831247559792594,0.028383397959449125,0.5279680365296804,0.41737772851692106,0.9904877629315681,0.5906403850524913,0.02809846921329784,0.004719779698761473
without_venue_strength,22,46,0.5353881278538812,0.420873417235,0.9790863159763403,0.5822572955160157,0.030807009843390007,0.5256849315068494,0.41478706977424834,0.9902470213932218,0.5901059178584361,0.026599048686992657,0.002129120956088748
full_feature_set,26,54,0.5302511415525114,0.4219432798482816,0.9779038593525101,0.5809294029134233,0.027771462612622904,0.526255707762557,0.4126579488181596,0.9906807269737067,0.590713636471205,0.02929141950831571,0.0
without_missing_xg_signals,24,50,0.531392694063927,0.4173484583328606,0.9789921450980316,0.581929077386656,0.02693363673256337,0.5256849315068494,0.41132452592682983,0.9920111976098818,0.591349182501909,0.030902024770664855,-0.0013334228913297608
without_head_to_head,23,48,0.5331050228310502,0.4193741273297214,0.9787614602078051,0.5818872805887293,0.03218556620850135,0.526255707762557,0.41080385138343445,0.9891306798738195,0.5899507886600995,0.033617743013047006,-0.0018540974347251438
without_rest_days,24,50,0.5308219178082192,0.4163829217548453,0.9803729345432668,0.5826387280088425,0.03213358515022774,0.5228310502283106,0.4107009036793521,0.9915890478100147,0.5911284577643154,0.029970556409016493,-0.0019570451388075116
without_elo_family,23,48,0.5245433789954338,0.40269802526241216,0.9906650309367194,0.5894794058111892,0.03345891774687204,0.5222602739726028,0.40419380902258445,1.0042542416459046,0.5995179661086195,0.033797659041337726,-0.008464139795575143
without_xg_family,17,36,0.5285388127853882,0.40930304813388646,0.9813929271994202,0.584023562409462,0.029940853524707153,0.5245433789954338,0.40337032527160677,0.9996684887242432,0.5963338293162938,0.029542225304641484,-0.009287623546552826
