model,feature_set,final_feature_count,validation_accuracy,validation_macro_f1,validation_log_loss,validation_multiclass_brier,validation_ece,test_accuracy,test_macro_f1,test_log_loss,test_multiclass_brier,test_ece
weighted_xgboost_expanded,expanded_features,54,0.5188356164383562,0.493820200869195,0.9914002826248964,0.5918057551868162,0.05574984262585364,0.5079908675799086,0.4774879854580847,0.9997046368444306,0.5978900633478197,0.04854763747879165
soft_voting_ensemble_expanded,expanded_features,54,0.5365296803652968,0.4500869811965717,0.9772792719611462,0.5818127219106769,0.02861963291991169,0.5245433789954338,0.43947830871316834,0.9872079846778298,0.5889853911210678,0.023753556767608555
random_forest_expanded,expanded_features,54,0.5291095890410958,0.42243568372307766,0.9783173835727891,0.5821526025856936,0.023848646905540487,0.531392694063927,0.4277056095135063,0.9900857691880041,0.5902871392846891,0.026151672806051657
tuned_xgboost_expanded,expanded_features,54,0.5319634703196348,0.4279713009065024,0.9829609868653457,0.583951478044306,0.02875118098497761,0.5245433789954338,0.41486837668573867,0.9919766127029818,0.5914754183461248,0.029988487498186056
baseline_xgboost,current_features,15,0.5399543378995434,0.4312928633888853,0.9805254180286227,0.5835408733984674,0.03222876695395029,0.5256849315068494,0.41294723435145136,0.9936069647082887,0.5925033176616503,0.028219638820185366
xgboost_expanded,expanded_features,54,0.5302511415525114,0.4219432798482816,0.9779038593525101,0.5809294029134233,0.027771462612622904,0.526255707762557,0.4126579488181596,0.9906807269737067,0.590713636471205,0.02929141950831571
hist_gradient_boosting_expanded,expanded_features,54,0.5376712328767124,0.4220005366849684,0.9779105729703823,0.5811398413850706,0.03148469678466852,0.5273972602739726,0.41003849329177244,0.9879879885641535,0.5887122576230678,0.024243865222745225
logistic_regression_expanded,expanded_features,54,0.5405251141552512,0.40837161535572775,0.9747668430760017,0.5803341821887026,0.02519800620488366,0.5353881278538812,0.4023113732184889,0.9821745764368076,0.5856263180057444,0.025786897988716088
